,Category,Value,Value.1,Value.2,Value.3
386,ppg,179455.0,165514.0,65.0,97.0
387,ppg,179271.0,165447.0,65.0,97.0
388,ppg,179095.0,165368.0,65.0,97.0
389,ppg,178905.0,165301.0,65.0,97.0
390,ppg,178720.0,165232.0,65.0,97.0
391,ppg,178533.0,165157.0,65.0,97.0
392,ppg,178360.0,165082.0,65.0,97.0
393,ppg,178200.0,165014.0,65.0,97.0
394,ppg,178066.0,164948.0,65.0,97.0
395,ppg,177961.0,164916.0,65.0,97.0
396,ppg,177866.0,164876.0,64.0,97.0
397,ppg,177797.0,164849.0,64.0,97.0
398,ppg,177757.0,164823.0,64.0,97.0
399,ppg,177729.0,164819.0,64.0,97.0
400,ppg,177698.0,164801.0,64.0,97.0
401,ppg,177686.0,164796.0,64.0,97.0
402,ppg,177685.0,164794.0,64.0,97.0
403,ppg,177695.0,164798.0,64.0,97.0
404,ppg,177708.0,164800.0,64.0,97.0
405,ppg,177745.0,164817.0,64.0,97.0
406,ppg,177792.0,164839.0,64.0,97.0
407,ppg,179349.0,165426.0,64.0,97.0
408,ppg,179370.0,165438.0,64.0,97.0
409,ppg,179403.0,165444.0,64.0,97.0
410,ppg,179424.0,165461.0,64.0,97.0
411,ppg,179462.0,165463.0,64.0,97.0
412,ppg,179491.0,165481.0,64.0,97.0
413,ppg,179523.0,165497.0,64.0,97.0
414,ppg,179561.0,165521.0,64.0,97.0
415,ppg,179588.0,165542.0,64.0,97.0
416,ppg,179632.0,165547.0,64.0,97.0
417,ppg,179665.0,165565.0,64.0,97.0
418,ppg,179667.0,165578.0,64.0,97.0
419,ppg,179638.0,165549.0,64.0,97.0
420,ppg,179555.0,165515.0,64.0,97.0
421,ppg,179423.0,165474.0,64.0,97.0
422,ppg,179270.0,165421.0,64.0,97.0
423,ppg,179102.0,165350.0,64.0,97.0
424,ppg,178910.0,165269.0,64.0,97.0
425,ppg,178716.0,165194.0,64.0,97.0
426,ppg,178530.0,165123.0,64.0,97.0
427,ppg,178352.0,165046.0,64.0,97.0
428,ppg,178193.0,164981.0,64.0,97.0
429,ppg,178058.0,164924.0,64.0,97.0
430,ppg,177931.0,164872.0,64.0,97.0
431,ppg,177841.0,164831.0,64.0,97.0
432,ppg,177745.0,164796.0,64.0,97.0
433,ppg,177700.0,164764.0,64.0,97.0
434,ppg,177654.0,164751.0,64.0,97.0
435,ppg,177636.0,164731.0,64.0,97.0
436,ppg,177612.0,164724.0,64.0,97.0
437,ppg,177606.0,164716.0,64.0,97.0
438,ppg,177608.0,164718.0,64.0,97.0
439,ppg,177635.0,164731.0,64.0,97.0
440,ppg,179027.0,165243.0,64.0,97.0
441,ppg,179060.0,165244.0,64.0,97.0
442,ppg,179060.0,165244.0,64.0,97.0
443,ppg,179087.0,165254.0,64.0,97.0
444,ppg,179110.0,165258.0,64.0,97.0
445,ppg,179145.0,165275.0,64.0,97.0
446,ppg,179144.0,165278.0,64.0,97.0
447,ppg,179111.0,165272.0,64.0,97.0
448,ppg,179047.0,165244.0,64.0,97.0
449,ppg,178949.0,165193.0,64.0,97.0
450,ppg,178820.0,165133.0,64.0,97.0
451,ppg,178669.0,165087.0,64.0,97.0
452,ppg,178508.0,165027.0,64.0,97.0
453,ppg,178342.0,164964.0,64.0,97.0
454,ppg,178171.0,164885.0,64.0,97.0
455,ppg,178018.0,164824.0,64.0,97.0
456,ppg,177878.0,164770.0,64.0,97.0
457,ppg,177748.0,164711.0,64.0,97.0
458,ppg,177655.0,164676.0,64.0,97.0
459,ppg,177574.0,164638.0,64.0,97.0
460,ppg,177516.0,164612.0,64.0,97.0
461,ppg,177470.0,164591.0,64.0,97.0
462,ppg,177445.0,164580.0,64.0,97.0
463,ppg,177430.0,164569.0,64.0,97.0
464,ppg,177429.0,164560.0,64.0,97.0
465,ppg,177438.0,164572.0,64.0,97.0
466,ppg,177455.0,164566.0,64.0,97.0
467,ppg,177481.0,164583.0,64.0,97.0
468,ppg,179104.0,165206.0,64.0,97.0
469,ppg,179133.0,165209.0,64.0,97.0
470,ppg,179133.0,165209.0,64.0,97.0
471,ppg,179146.0,165231.0,64.0,97.0
472,ppg,179146.0,165231.0,64.0,97.0
473,ppg,179146.0,165231.0,64.0,97.0
474,ppg,179146.0,165231.0,64.0,97.0
475,ppg,179130.0,165211.0,64.0,97.0
476,ppg,179065.0,165196.0,64.0,97.0
477,ppg,178958.0,165158.0,64.0,97.0
478,ppg,178813.0,165101.0,64.0,97.0
479,ppg,178652.0,165041.0,64.0,97.0
480,ppg,178451.0,164956.0,64.0,97.0
481,ppg,178265.0,164870.0,64.0,97.0
482,ppg,178067.0,164801.0,64.0,97.0
483,ppg,177875.0,164716.0,64.0,97.0
484,ppg,177698.0,164637.0,64.0,97.0
485,ppg,177533.0,164573.0,64.0,97.0
486,ppg,177403.0,164510.0,64.0,97.0
487,ppg,177280.0,164466.0,64.0,97.0
488,ppg,177208.0,164428.0,64.0,97.0
489,ppg,177137.0,164405.0,64.0,97.0
490,ppg,177100.0,164385.0,64.0,97.0
491,ppg,177059.0,164355.0,64.0,97.0
492,ppg,177045.0,164355.0,64.0,97.0
493,ppg,177030.0,164359.0,64.0,97.0
494,ppg,177022.0,164346.0,64.0,97.0
495,ppg,178392.0,164890.0,65.0,97.0
496,ppg,178425.0,164910.0,65.0,97.0
497,ppg,178441.0,164907.0,65.0,97.0
498,ppg,178470.0,164928.0,65.0,97.0
499,ppg,178489.0,164935.0,65.0,97.0
500,ppg,178497.0,164941.0,65.0,97.0
501,ppg,178467.0,164926.0,65.0,97.0
502,ppg,178409.0,164906.0,65.0,97.0
503,ppg,178409.0,164906.0,65.0,97.0
504,ppg,178298.0,164864.0,65.0,97.0
505,ppg,178158.0,164807.0,65.0,97.0
506,ppg,177991.0,164743.0,65.0,97.0
507,ppg,177788.0,164668.0,65.0,97.0
508,ppg,177577.0,164573.0,65.0,97.0
509,ppg,177363.0,164493.0,65.0,97.0
510,ppg,177147.0,164390.0,65.0,97.0
511,ppg,176952.0,164311.0,65.0,97.0
512,ppg,176798.0,164249.0,65.0,97.0
513,ppg,176643.0,164188.0,65.0,97.0
514,ppg,176521.0,164148.0,65.0,97.0
515,ppg,176430.0,164114.0,65.0,97.0
516,ppg,176379.0,164086.0,65.0,97.0
517,ppg,176320.0,164070.0,65.0,97.0
518,ppg,176277.0,164058.0,65.0,97.0
519,ppg,176248.0,164047.0,65.0,97.0
520,ppg,176231.0,164037.0,65.0,97.0
521,ppg,176208.0,164020.0,65.0,97.0
522,ppg,176197.0,164013.0,65.0,97.0
523,ppg,176207.0,164013.0,65.0,97.0
524,ppg,176229.0,164031.0,65.0,97.0
525,ppg,176271.0,164045.0,65.0,97.0
526,ppg,176319.0,164059.0,65.0,97.0
527,ppg,176383.0,164092.0,65.0,97.0
528,ppg,176424.0,164110.0,65.0,97.0
529,ppg,177857.0,164701.0,65.0,97.0
530,ppg,177881.0,164723.0,65.0,97.0
531,ppg,177930.0,164738.0,65.0,97.0
532,ppg,177948.0,164742.0,65.0,97.0
533,ppg,177951.0,164749.0,65.0,97.0
534,ppg,177893.0,164729.0,65.0,97.0
535,ppg,177805.0,164695.0,65.0,97.0
536,ppg,177682.0,164652.0,65.0,97.0
537,ppg,177518.0,164575.0,65.0,97.0
538,ppg,177518.0,164575.0,65.0,97.0
539,ppg,177325.0,164505.0,65.0,97.0
540,ppg,177129.0,164434.0,65.0,97.0
541,ppg,176925.0,164349.0,65.0,97.0
542,ppg,176704.0,164270.0,65.0,97.0
543,ppg,176512.0,164176.0,65.0,97.0
544,ppg,176324.0,164117.0,65.0,97.0
545,ppg,176178.0,164054.0,65.0,97.0
546,ppg,176046.0,164002.0,65.0,97.0
547,ppg,175956.0,163961.0,65.0,97.0
548,ppg,175861.0,163916.0,65.0,97.0
549,ppg,175801.0,163895.0,65.0,97.0
550,ppg,175748.0,163878.0,65.0,97.0
551,ppg,175707.0,163869.0,65.0,97.0
552,ppg,175683.0,163846.0,65.0,97.0
553,ppg,175675.0,163837.0,65.0,97.0
554,ppg,175656.0,163835.0,65.0,97.0
555,ppg,175670.0,163834.0,65.0,97.0
556,ppg,175688.0,163851.0,65.0,97.0
557,ppg,177209.0,164507.0,65.0,97.0
558,ppg,177254.0,164523.0,65.0,97.0
559,ppg,177287.0,164536.0,65.0,97.0
560,ppg,177328.0,164549.0,65.0,97.0
561,ppg,177364.0,164575.0,65.0,97.0
562,ppg,177407.0,164587.0,65.0,97.0
563,ppg,177448.0,164605.0,65.0,97.0
564,ppg,177491.0,164631.0,65.0,97.0
565,ppg,177517.0,164645.0,65.0,97.0
566,ppg,177515.0,164627.0,65.0,97.0
567,ppg,177484.0,164627.0,65.0,97.0
568,ppg,177415.0,164595.0,66.0,97.0
569,ppg,177290.0,164542.0,66.0,97.0
570,ppg,177145.0,164494.0,66.0,97.0
571,ppg,176966.0,164421.0,66.0,97.0
572,ppg,176785.0,164353.0,66.0,97.0
573,ppg,176580.0,164271.0,66.0,97.0
574,ppg,176380.0,164195.0,66.0,97.0
575,ppg,176205.0,164120.0,66.0,97.0
576,ppg,176205.0,164120.0,66.0,97.0
577,ppg,176032.0,164048.0,66.0,97.0
578,ppg,175895.0,163994.0,66.0,97.0
579,ppg,175787.0,163946.0,66.0,97.0
580,ppg,175686.0,163913.0,66.0,97.0
581,ppg,175614.0,163877.0,66.0,97.0
582,ppg,175547.0,163851.0,66.0,97.0
583,ppg,175517.0,163838.0,66.0,97.0
584,ppg,175500.0,163832.0,66.0,97.0
585,ppg,177203.0,164569.0,66.0,97.0
586,ppg,177235.0,164588.0,66.0,97.0
587,ppg,177269.0,164601.0,66.0,97.0
588,ppg,175516.0,163850.0,66.0,97.0
589,ppg,175557.0,163865.0,66.0,97.0
590,ppg,177371.0,164637.0,66.0,97.0
591,ppg,177404.0,164651.0,66.0,97.0
